Title,Review,Cons_rating,Cloth_class,Materials,Construction,Color,Finishing,Durability
So pretty!,"I bought this in blue and can't wait to wear it, feels so soft. exactly like the picture.",5,Knits,,,,,
Love the design,"This tunic was a surprise - the navy color and the knit material and the colorful designs on the front just accentuates the tunic. however, i agree with the previous reviewer about the high slits and it's pretty wide, better if it was a 1/4 or 1/2 inch less. fits tight on the arms and shoulders but a bit loose below the bodice.

i cut the tags to wear it and found out that part of the embroidery on one of the designs had unraveled!
sadly returning.",4,Knits,,,,,
Very flattering dress!,"I got this for a special event and while i had to special order due to it not being in my local store yet, the minute i tried it on was very happy with the fit, feel and overall look. at the event i got so many compliments and love the way it fits - attractive, sturdy and very comfortable to wear, even with kicking up my heels on the dance floor. am so happy i got this and plan to wear it to other events coming up (weddings, parties, etc.)",5,Dresses,,,,,
Unique and so fun,"I was drawn to these pants because i loved the color and pattern, but i was sure they would be difficult to pull off. i tried them on and loved them! they will be perfect summer pants because they're so light and not clingy at all. the material is great. these will also be really fun to wear at the beach. i could stand for them to be about an inch longer, but the wide waistband is super flattering and versatile so i just wear them closer to the hip for the extra length. definitely worth trying o",5,Pants,,,,,
"Kinda cute, but elastic too tight around the legs","These felt like they were cutting off circulation around the calves. i tried pulling them lower to reduce the tightness but that made them way too droopy between the legs. an alternative would be to clip the elastic, but ultimately decided to return.",2,Pants,,,,,
Cute dress,"I usually wear a small, 4 or 6 and in this dress i couldn't even zip up the 8. so tight in the rib cage and chest. if i tried to go up even further the bottom half got much bigger. guess this one is not for me.",3,Dresses,,,,,
Disappointing quality,"I ordered these leggings and loved them, for about an hour- at which point the belt loop ripped off of the pant, leaving a hole. i called customer service and they sent me a 2nd pair. same thing happened. i never even pulled on the belt loop. they are just so flimsy. it's a shame bc they are cool looking.",1,Jeans,,,,,
Gorgeous!,"Oh my, i just received my dress and it is gorgeous!. i was a little skeptical with the reviews but i am on the slender side so perhaps that is the body type it works for. i am 34b with a 25 waist. i got a size 0 and it fits well. i am 5'5"" and the length is good too, not too long. i could wear reasonable heel/wedges. it is a great class, sophisticated look. the material is great quality. i can't wait for an occasion to wear it to!",5,Dresses,,,,,
Easy summer dress,"I just received this dress and i love it. after reading the reviews i was worried that it would be too tight so i ordered both a 6 and an 8. i am 5'8"", hourglass, 135 lbs, and the 6 is just perfect. i love how it falls just below the knee, but the front slit gives it that little flirt factor. this is the go-to summer dress i had been looking for!",5,Dresses,,,,,
Do not buy this dress,"I should have heeded the previous reviewer's advice. but i'm really short so i thought i'd give it a try. there is something really wrong with the bust. first, it's about 3-4 inches higher than it should be. the bottom trim cut across the middle of my bust. even if i hoisted everthing up in there to fit the cups, they are really only designed to fit cones, not curves. from the side it looked hideous. too bad, because the fabric and fit everywhere else is gorgeous.",1,Dresses,,,,,
Not a fan,"I am 5'8"" 140 lbs., 34b, and i ordered the 6 in denim. the dress is certainly tts: the 6 fit like a glove but wasn't at all tight. perhaps my expectations were too high with this dress--based on the other reviews, i thought that it would be perfect for my pear-shaped figure. however, i found that the a-line skirt accentuated my lower half, thereby making me look larger than i am, so i sent it back. otherwise, this is a great dress. it certainly did manage to hide lumps and bumps in spite of bein",3,Dresses,,,,,
Best. dress. ever.,"Yay, i found it: my go-to dress for this summer! it's perfect for casual day-to-day stuff, as well as summer festivals, nights out, travel, etc. i love the design, length and fit. it's a bit snug in the chest area but i went with the smaller size as the shoulder straps sagged a bit in the larger size. the lace-up front gives it a sexy corset-type bodice, but in a very casual, appropriate way. i think this dress will work well with many body types and ages, it's flattering for us curvier ladies,",5,Dresses,,,,,
Super flattering and unique,"I love this dress. i got it in the blue and i feel like everything about it is so modern and class and summery. it runs a bit on the small side. i'm between a 6 and an 8 - i went with the six, but it's definitely tight. i have a larger chest, and it's pretty low and sexy, though you could knot the laces at the top for a more modest neckline. i've also put shirts under it and it's a super cute jumper. i'm 5'1 and the dress (regular, not petite) hits right below my knee.",5,Dresses,,,,,
A dress fit for a woman,"I?ve been looking at this dress online for some time now, but i?ve been put off by the photo of the woman wearing it on the boat. it just did not seem right. but then i saw it in the store and i was sold on it. it is a wonderfully soft, linen dress. it is a bit tight in the midriff, so i had to size up a bit. i usually wear a size 2, but went with size 4 this time. size 4 fit perfectly. it is comfortable, easy to wear, just the right amount of sexy. it will be a nice every day dress for summer i",5,Dresses,,,,,
Great find,"Love this dress. i have it in white. just washed it in cold water in the machine and it still looks like new. very cute and comfortable. i stitched up the slit a bit, i am older, but otherwise, perfect.",5,Dresses,,,,,
Perfection!,"I absolutely adore this dress! the beautiful details and shape make it so much more unique and special than your typical linen dress. it's effortless, yet still a showstopper. i am a size 4 with hourglass shape and my normal size 4 it fits me like it was made for me. it's not too tight in the ribcage, yet it is slimming and flattering. not matronly at all! the laces can be worn tied up for a more modest look, or worn untied for a breezy, casual, a bit more sexy look. i will be wearing this dress",5,Dresses,,,,,
,"Yes! yes! yes! 
i buy a lot of dresses from retailer, and about once a year i hit the jackpot with a dress that hits all the marks! this dress is it!

i bought the white linen version on a whim. i never buy white dress because, 1. i don't want to look bigger than my pear shape already is, and 2. i like red wine and i that's risky in a white dress! 

i don't know how this designer did it, but this dress is amazing! it's slimming and flattering and summery and current. and i am two sizes bigger",5,Dresses,,,,,
,"This jacket fits just a tad big, but it's quite comfortable. it's the perfect touch to dress up jeans! i've gotten lots of compliments.",4,Jackets,,,,,
Love this dress,"I saw this dress online and loved it. i ordered the blue denim one in my usual sizes an 8 and 10, but i think the 10 was sized wrong. anyhow, both were too small, so when i returned them, they were in the store! i ended up with a size 12 which fits great, with a little bit of room. it is light weight, simple but fun and very comfortable to wear. i have received many compliments on it on my first day wearing it. i also ordered it in white, thinking that i might prefer that color, but when it arri",5,Dresses,,,,,
Not as it seems..,"I'm always looking for pieces that would good for either layering or worn alone. this looks cute on the model, but when i received it, it's actually very flowing. i wanted more of a straight cut. doesn't work very well on my body. i'm 5'3, 123 lbs., 34-d. it's going back.",2,Knits,,,,,
Three strikes,"I am now the third person to try this dress and return it for the same reason. the empire waist is too high and hits across the bust instead of underneath it. i can't imagine how they got it to fit this model so well. i am petite and i really love the idea of a maxi with sleeves, so i decided to try it even through the two previous reviewers reported this issue. unfortunately, i had the same problem. i am a c+ cup size. perhaps this would work on a very thin figure with a small bust. i ordered t",2,Dresses,,,,,
Recommend with a but,"The double seams down the front of this elongate; the material is light and would work spring through summer, kind shape. even though the dress hits below the knee, the buttons end mid thigh and make it cute rather than matronly. here's the but:
the rib cage area is very fitted. i'm a 6-8, in pretty good shape, and that is not a ""problem area"" for me. however, in this dress, it was. there was no way for my figure to pull it off. from behind, in both 6 and 8, every bundle of skin seemed ample. i",3,Dresses,,,,,
Lovely color but flimsy!,"I am on the fence about this top. i like the color but i'm not sure what to make of the style. the top part of it, around the chest and straps is lovely and flattering, but the bottom flairs out way more than i like. the back is longer than the front and it's almost a pregnancy top in how much it flairs. it's also quite thin and flimsy material given how expensive it is, even with the tag sale. the color, pattern and the chest part of the top is nice enough that i may keep this one, but, as i sa",3,Blouses,,,,,
,"I love this dress! it is more of a thick cotton linen than actual denim. it fits true to size in the sense that i am usually a size 6, but i would say it is smaller on top than normal size 6 dresses. i am 5' 8"", small busted, and a ""pear"" shape, so i like the more fitted style of the top with the a-line skirt. i love the length hitting just below the knee. it is flattering for my body type. seems well made and at a good price point.",5,Dresses,,,,,
,"Its a beautiful print and design. the shirt overall is a little short but untucked it can work. i dont know why everybody is making these short square little tops. overall, i am intrigued with the whimsical print and i like that enough to overlook the length.",4,Blouses,,,,,
Gorgeous blouse,"This is a stunning blouse! you can't tell from the photo, but it looks very 1930-1940's. i am so happy with this blouse, it is gorgeous. i'm an xl, and purchased this blouse in xl and it fits wonderfully. it fits nice and flowy and i feel i don't need a cam underneath. i highly recommend it!",5,Blouses,,,,,
The white dress is extremely see-through,"I ordered the white ""denim"" online and was very disappointed by how thin the material was. i had tried on the light blue denim in the store and it had a nice weight to it. the style is wonderful and the fit is very flattering, but too sheer for me to wear outside the house!",2,Dresses,,,,,
Amazing jacket!,"Don't be put off by the sparkle! this jacket is amazing. lovely detail with the print on print with the sequined patches. i love this retailer in house brand, elevenses. i take a medium in this brand( 8/10) and the medium fits full with room like a bomber style would offer. i had tried a small in my local store and it was not a small -small so if you want a tighter fit then go for a small. but i like thinks to have a more fluid feel. i have a 34 dd chest as reference. i plan to wear this in spring",5,Jackets,,,,,
Great linen dress,"This dress is cute and the a line style is quite flattering. a few minor issues: fabric is linen not denim as the name states, petite sizing is still a little large and back zipper doesn't zip down far enough to step into so has to be pulled over head (not that big of a deal). for reference i'm 5'4, 120, 32d and i ordered a petite size 4 and it was a bit large and fell bellow my knees. will be returning for a size 2. fingers crossed!",4,Dresses,,,,,
,This jacket is so pretty and fits amazing! i ordered the size small and it fits as expected. i normally wear a size small and a size 4.,5,Jackets,,,,,
Very cute,"A couple of months ago i bought the white in this top in my usual size small. it's cute & flowy & like to wear it with ankle or capri leggings. have worn with shorts as well. casual & cute! plus i love cotton anyways. 5'3"", 117#. think i'll go ahead with the other colors since the heat will be arriving soon....",5,Knits,,,,,
Love! my new favorite swimsuit!,"This top is beautiful. i would say the pink stands out more in the print in person than in the picture, and it's gorgeous. the adjustable strap is nice. there is just enough padding in this swimsuit to feel protected without being bulky or worrying about it moving around in the top. this is seriously my new favorite, could not recommend enough!

for reference, i am a 34a, and purchased a small.",5,Swim,,,,,
Loved it,"I did not experience the issues the other reviewers mentioned. wore this to a wedding last month and received many compliments. beautiful, comfortable dress. the bust fit well -- slightly large on me (i am *just* a b) in the size i needed, but not horribly so. love this dress!",5,Dresses,,,,,
Hourglass figure gals rejoice,"This dress is very feminine and flattering on, especially for hourglass figure gals. i usually wear size 4 regular in this brand but i sized up to 6 regular (i'm 34b, 26 waist, 36 hips). when it's very fitted on top, i like my dress to be a bit longer. the bottom hem falls about 2 inches longer on me than shown on the model (i'm 5'2""). it feels tight when first zipped because the dress is cut to fit the curves of a woman, but it loosens up after a few minutes of wear. the design of this dress is",5,Dresses,,,,,
Fabulous spring/summer dress,"This dress makes me looks curvy,thin and sexy! i tried on almost every dress in the store in every style. this one was a winner. i bought 2 others but this one was my favorite. i'm 5'5"" 130 (32dd) sz4 fit perfect. the picture on-line does not do it justice - you must give it a chance and try it on for yourself. it looks like an average dress on the model - if you have curves you'll love this dress!",5,Dresses,,,,,
"Simple top, love the shape","I actually love the fit of this t. the photo of the model does make it look more of a straight fit - but i love that it has more of a flared shape. the armholes are high enough that it covers that bit of arm chub i hate, it swings out enough that it looks a little dressy and a little more special than your basic t, and it drapes nicely even over my curvy shape.",5,Knits,,,,,
Will pass on these,These look much cuter in the picture than in person. i found them to be very thin and cheap looking. i am pretty sure you could find a similar pair at a budget department store.,2,Pants,,,,,
Excited,I'm really excited that retailer is selling basics. i love the flow of this fabric and it does not cling. i haven't worn them yet but they'll be perfect for work. i look forward to trying on the other essential styles.,4,Pants,,,,,
Not flattering on anyone,"Disappointed, the cut of the layer makes anyone wearing it look pregnant. even the model in the picture the way that layer hangs.",2,Blouses,,,,,
Not a rich style...,"The fabric and its texture didn't meet my expectations unfortunately. there were too much fray and cast-off of edge yarns of a fabric... 
however this will fit if you wear over the swimming wears.",2,Dresses,0,0,0,0,1
Great staple,"This shirt is the perfect go-to; classic white button down, with a twist! the fit is flattering & i would have to say runs a little large. i am 5'4,124 lbs, broad shoulders, with a 36d bust and bought the 2 (outside of retailer, a 36d usually needs about an 8). i was worried what may happen when i wash it because it fits perfectly but i washed it in cold & hung it up to dry & it was fine.",5,Blouses,,,,,
Definitely a summer dress,This dress is tricky. the fabric is very thin and the under slip it comes with runs small. i wear it with my yoga shorts underneath. the fabric is a very thin linen. my husband loves me in this dress so that a huge pro. its very light and cool perfect for the summer time.,3,Dresses,,,,,
Flattering,"This top is a must have for summer. it is light and accentuates the figure. i'm 5'3 and many tops overwhelm me, but this is shorter in the front and a touch longer in the back. the cotton is very nice and it has a somewhat wider hem. if you have hips this somehow makes them look narrower.
if they had additional colors, i would have bought them all. i'm a 36c and the size 8 was perfect.",5,Blouses,,,,,
Cute and comfortable,"Just buy these! i bought the olive green color and loved them, so i bought the navy blue. they fit true to size, i'm a size 4 and bought the 27. they are comfortable and make your bum look good. i prefer skirts, dresses and shorter pants like these gauchos instead of shorty shorts during the summer, and these will be something i wear all the time in warm weather. you can wear them casually or dress them up.",5,Pants,,,,,
Classic,"I tried this top on with a pair of white shorts, half tucked, and it looked really classy and nice. the fit was loose but flattering, it is a tiny bit sheer, but i was wearing a magenta bra, so perhaps i am biased. overall, i think this is a good basic addition, to a summer wardrobe, can be worn with a nice skirt, or with jeans as shown here. the 0 (or xs, can't remember) fit me at 115 lbs, with 30dd chest.",4,Blouses,,,,,
Dissapointed,I agree with the other reviewer that the color of this top is more burgundy with purple undertones rather than a deep red like shown online.,3,Blouses,0,0,1,0,0
Wanted to like this more,"I really wanted to like this top, but couldn't seem to find the right fit. i tried it on in 3 different sizes and none of them were right - they were either too wide in the hips, or a little narrow in the shoulder. it is cute overall though - and a good way to do a short top, without feeling like you're in a ""crop top""",3,Blouses,,,,,
Great fun top,"Nice quality, not too thin like most white tops and the arms are cut just right. perfect length too.",5,Blouses,,,,,
,This dress is amazing. it is comfortable with great fabric and very high quality. if you have a lot of curves it may not be the best dress as it has no give and flows straight down from the shoulder.,5,Dresses,,,,,
Awesome colors and shape,"This dress is gorgeous!! amazing colors, drape and bra friendly if ur not too big chested. i can wear this w a strapless bra and the tie in back does work.",5,Dresses,,,,,
Vintage-contemporary fashion,"I purchased this gaucho as a gift for my mother.
at first, i was about to try it for myself because gaucho is a little trend nowadays.
but later, it turned out that it was a perfect fit for my mother.
it went well with her perhaps because she saved a lot of her fashion from 1980s.
it also fit well with contemporary fashion as well.
however, i think it matches better with vintage fashion than to contemporary fashion.
so, if you happen to save those ""good old fashion"", take them out and try",4,Pants,,,,,
Great cropped pants,"Awesome pants. they look a lot better in person than in these pictures. i got it in dark blue. they are very comfortable, and can be used day to night. if you like cropped pants and wide legs this one is a good option. it's a bit more dressy than other models, still look casual and fun. i may end up getting a couple more for myself...",5,Pants,,,,,
Could have been great!,"I wanted to love this dress, it looks beautiful on the model but it isn't the flattering, even on sale i am not sure if it would be worth it, it it runs pretty big.",2,Dresses,,,,,
Cute and different!,"More flattering than it looks on the model. comes in at the waist on me. i ordered it in blue, and it's very pretty; will go nice with a business suit but requires a cami underneath for work occasions.",4,Blouses,,,,,
Really cut pants,"With the pleats, probably need to tuck in shirt. these were too big for me, so need to return.",4,Pants,,,,,
Cool top,"Impecable workmanship (overseas). i usually wear a petite 2 but ordered this in a regular size 0 and glad that i did. since it curves up on this side, it barely overs the waistband on my jeans. ordered this in pink but it's more of pale coral pink. the style is more of a semi-halter sleeve but it have snaps on the inside shoulders to keep the bra straps from showing or you can wear a halter bra. it's a very light weight cotton and flowing and it will be great for the hot weather.",5,Blouses,,,,,
Cayucos tunic,"When this dress first showed up online, i liked it, but didn't buy it because i wasn't in love. retailer weekend popped up, so i decided to take advantage of the 15% off and ordered this dress. it shipped to me in no time! the dress is beautiful. the fabric is soft and airy. this is the first ""off the shoulder"" dress that actually stays off the shoulder. no riding up, no fussing! i suggest sizing down because this dress is slightly flowy.",5,Dresses,,,,,
Perfect for fall!,"This is such a cute top! i've learned to size down in swing tops or else they look way too big - in a sloppy way. i ordered the xxs (5'3"" and 110lbs) and it fits well. it'll look cute with my black skinny dress pants or jeans. i definitely recommend!!",5,Sweaters,,,,,
Cute and comfortable,"I'm curvy, and i often have trouble finding pants that don't have weird creasing and fit both my waist and thighs. these fit awesome, especially when i use the buttons at the waist to make it a little smaller. they do emphasize my hips, so if you're trying to hide hips, these aren't for you. i love them, though--they drape beautifully and feel great.",5,Pants,,,,,
Great product,"Fits well (true to size), very stylish and comfortable. i'm going to have to buy these in more colors!",5,Pants,,,,,
"Simple, flattering, very summer","This tank is so classic and summery and i never want to take it off. it's very soft, and the fabric is decently thick. it hangs away from the body and has a nice swing to it. it works well for my very straight figure and small chest, but finding the right fit might be problematic for someone more blessed in the chest area than me.",5,Blouses,,,,,
Super cute,"I feel slim and comfortable in these cute trousers.  got compliments at work.   they are definitely more of a work pant, due to the material.  i think i could wear them outside of work (look-wise), but maybe wouldn't feel as comfortable in them after the hours of nine-to-five, due to the material.",4,Pants,,,,,
Fine on sale,Totally pretty but not crazy flattering. a bit wide in the hip area if you are not tall. good on sale but i wouldn't pay full price.,3,Swim,,,,,
Summer favorite,This dress is so versatile. great summer wear!,4,Dresses,,,,,
New favorite brand of yoga pants,Delighted with these. made in the usa was a big selling factor. great quality and fit. will look out for more active wear from this brand.,5,Lounge,,,,,
Nope,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also, i like to have the first button open, but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",2,Dresses,,,,,
Fun and tons of compliments!,"I bought these pants in yellow for an event where i had to wear yellow. i was weary about the color but it is so great in person. it's a very bright lemon-y yellow. they're high waisted and very flattering. i'm 5'11"" and normally wear a 30 and they were a little too large but nothing a tight belt couldn't fix. they also hit a little bit above the ankle which initially i was worried about with the flare but it actually was a really cool look. i received so many compliments that day and am glad to",4,Pants,,,,,
Love the back,Another cloth and stone success! love the back! denim goes with most anything!,5,Blouses,,,,,
Aquarelle leggings rock!!,Love the bright colors! made really well!! super soft and vibrant!,5,Lounge,0,0,1,1,0
Nice fit - super cute,"This top fits exactly like the last photo, which was my hope. it is not as slim as the other images. it's a swing top and the arm holes are perfect size, and the mock turtleneck is not too high. the fabric is thick, so will be perfect transitioning from summer to fall.",5,Sweaters,,,,,
Completely cute!,"I'm so glad i tried these on at one of my local retailer stores. i didn't really think much of it online but they have a much nicer look and cut in person. i got the navy blue in size 27 which fit tts. i got a regular size vs. the petite size which i usually like to go with because i'm short but i actually found that they fell very similar to the model's length shown online. they seem so versatile, i'm looking forward to wearing these!",5,Pants,,,,,
Not worth the price but looks good!,"I bought this scarf/dress for 20% off on mother's day weekend. i really like how it looks and can be worn over a bathing suit or just as a dress, but it is not worth the money. it is poor quality, a scarf stitched together with an attached chord that you tie around your neck. you can make this yourself or wait until it is at least 50% off the original price.",3,Swim,,,,,
Staple!,"Love these pants. they are so easy to wear and look really polished and put together. i bought all 3 colors but i had to go a size up so that they draped correctly on me. i am usually a 4 but bought a 6.

i also love that they hit above the belly button so they work with longer crop tops.

i do wish they came in more colors.",5,Pants,,,,,
Warm and cozy,Love this sweater! it feels so soft and it slides right on over the head and neck. easy to wear. this is my favorite sweater. i wear it all the time. the lilac is a really nice subtle color as well.,5,Sweaters,0,0,1,1,0
The fit is the thing for this top!,"I normally avoid white tops because they usually don't have that pop,but when i saw the 50's styling on it i just had to try it. i came in to buy another top from their catalog but it was such a wow i walked out with it instead.",5,Blouses,,,,,
Nice quality pants at a great price,"I found these at my local retailer on the sale rack, in a moss green color. the material, and overall quality of these gauchos is excellent. they will be a nice transition into autumn with a light top and a jacket. highly recommended - with the 40% off of sale items, they cost $42 + tax.",5,Pants,1,0,1,0,0
Great for work,"I got these in kelly green because i am tired of all of the black and navy in my wardrobe, and i was not disappointed. the pants are well-designed and drape well. unlike a previous reviewer, i did not find the fabric to be cheap, but it is light and a little blousy--not bad for a warm region like mine. this polyester fabric has two advantages: no fading and no wrinkles. a good staple for work.",4,Pants,,,,,
Even works for the petite,"Was worried these pants would make my 5'2"" frame appear even shorter, but no, they looked great and fit perfectly. very comfortable. love your pilcro brand, but will remember this brand for the future.",5,Pants,,,,,
Perfect dress for a casual outdoor wedding,"I fell in love with this dress when i saw it. i am usually a petite, so i knew it would hit me just above the ankle, but it works! what is lacking from the description is the under slip that comes with the dress. it is a knee length, cotton jersey slip that is bulky and uncomfortable - thus the 4 star rating instead of 5 star. i won't use the slip, so this makes the dress fairly sheer when backlit. otherwise, the dress is well made and the addition of the piping at the seams makes it special. i",4,Dresses,,,,,
Great!,"Tried them on in store. they were actually kind of sexy on. i have an hourglass figure and the way that these fit, felt sort of like a 50's/60's fit, accentuating and flattering my shape. 
on my to get list.",4,Pants,,,,,
"Great fit, but high maintenance","I love a good gaucho/ culotte. these are very comfortable and fit is tts (i'm 5'9"" 145 and wear a 29). they are ironed with a line down the front, which i don't like, as it's always hard for me to keep the ironing straight. the pants have a little bit of stretch to them which is nice. since they're linen, they will require frequent ironing (which, i hate to do in the summer).",4,Pants,,,,,
Mixed review,"I'm keeping these shorts because they are cute. i sized down as the previous reviews suggested and they fit great, but they are snug around the legs. i think i would have preferred a more baggy look, but then they would have been too big around the waist (had i ordered my typical size). they are soft and comfortable, the navy color is really pretty.",3,Shorts,,,,,
Love these!,"I love these shorts! i know reviews say to size down and yes you very well could. but i like my shorts a little bigger so they hang on the waist and can wear a belt. they are so comfortable and the length is perfect! i love that they are loose around the thigh so they don't ride up while walking. i think they might look silly rolled down because they are so wide. i wish they had black, army green, and a dark wine. i would be in heaven!! i got the dark grey and the navy and am very happy.",5,Shorts,,,,,
Great shorts,"Very happy with the fit, sizing, and look of these shorts.",4,Shorts,,,,,
Cant go wrong,"I purchased these in taupe, mint, and coral. they are extremely comfortable and soft. they can be rolled up to 3 different lengths. i stayed in my regular size and the fit is great. i can see why they sell out so quickly. a must for summer season.",5,Shorts,,,,,
Fave shorts,"I live in these shorts all summer long. they are so comfortable, soft and practical. i have purchased a couple of these every summer but this year they were so many pretty colors i ended up with 6 new pair.. they go with just about everything and are soft and perfect for texas heat.",5,Shorts,0,0,1,1,0
Great top!,"The photo does not do this top justice. if you pull the tie a bit, it shapes the blouse a bit. i have a few work tops from retailer that i treasure -- they look good, wear well, wash easily and drip-dry perfectly. this top fits the bill too. and it goes with navy, black or even wine-colored pants. grab one!",5,Knits,,,,,
Best shorts!,"I bought one pair last year and two more this year! i love them! they fit tts and the ""red"" ones look exactly like the picture.....more of a pink color. super cute color! buy these shorts!!!",5,Shorts,,,,,
Boxy,Way too big and unflattering. i would love it to look like it does online but it's huge in person.,3,Knits,,,,,
Love these shorts,I absolutely love these shorts!!! everything about them is perfect!! i have them in almost every color. they wash beautifully. i don't dry my shorts in the dryer. they fit the same as last years'. i'm thin & pretty straight with little hips. i wear them in a size 28. i tried the 27 & they felt a little snug. i don't like my shorts tight & i like when they can hang down a little with a belt or not (like the model in the picture). i don't find that they stretch out much after wearing but that coul,5,Shorts,,,,,
Love. love. love.,"These shorts are perfect. the fabric is soft and gets even softer after washing. bought two colors in the late spring and then recently added to my ""hyphen"" shorts collection. you can dress them up or pair with a casual t and flip flops. they do stretch at the waist.",5,Shorts,1,0,1,1,0
"Ethereal, powerful, unique - once i put in darts!","This dress set my heart a-flutter, but i had quite a time figuring out the sizing. i literally ordered six different sizes, and when i put them on, they all seemed to look like a very beautifully embroidered and elegant tent. if only i could just nip it in a tiny bit at the waist! then it would look like the model does! (i actually think they probably pinned the back of the dress to get it to fit on the model).

so i played around with it and ended up putting in 2 small darts in the front. and v",5,Dresses,,,,,
,This  material is so soft and luxe. the colors are richer in person and perfectly go with everything. but the attached scarf ruins everything!!,3,Outerwear,0,0,1,1,0
Just okay,"I wear a typical 25 in coh jeans and i ordered these in a 25. they fit but they feel more like jeggings than skinny jeans. the wash isn't as faded out as in the picture. and at 5'2"" the rip is right at my kneecap. i bought these for the distressed wash, and will probably return this pair as it looks darker and less faded in person. i look nothing like the model does in this pair of jeans.",3,Jeans,,,,,
Short waist,"I loved this top but the cut was too short in the waist for my 5'8"" frame. wish it came in a tall size!",2,Knits,,,,,
Different colors are sized differently,"I tried these shorts on in 5 colors and found a wide variety of sizing. in the dark grey and taupe i needed to size down one from my usual 28 to a size 27. in the sapphire, lavender and red my regular size 28 fit perfectly. i ended up purchasing the dark grey and lavender with a discount. i gave 4 stars for the variation in sizing but once i got the correct fit the shorts have not stretched out on me throughout the day in either color. the length is perfect, short enough to not look frumpy, but",4,Shorts,,,,,
Comfy and ok for muscular thighs,"I never buy shorter shorts, my legs are so muscular that most are unflattering, but these were actually ok. they didn't look loose like the model, but hit a nice spot on the leg, and they have enough stretch to fit me nicely. i even bought the white color... unheard of! i weigh 115 lbs, all legs...",4,Shorts,,,,,
Love these but color faded when washed,"I'm pretty disappointed in these. just bought the yellow pair and wore today for the first time. super cute and very comfortable. i was in love with them. they got two small stains on them from the day's activities ( and not even crazy, untreatable stains). unfortunately, the stains did not budge yet the color of the shorts washed out. they are completely ruined after one washing (on cold). i'm hoping this was a fluke and plan to order a second pair before they sell out. these will be going back",3,Shorts,0,0,1,0,1
,"Perfect top! i love the mix of materials, silky in the front and comfy knit in the back. the tie on the side is adorable and adds a little something special to the shirt. happy!",5,Knits,,,,,
New favorite shorts!,I love these shorts. would buy them in every color! the colors are all fabulous. very soft comfy feel.,5,Shorts,0,0,1,1,0
Great casual short,These shorts are age-appropriate for all. they're loose fitting and cal me rolled up or left down where they end above the knee. the fabric is soft and colors are fun,5,Shorts,,,,,
Summer staple,"Bought these shorts in the store, in navy and loved them so much that i ordered them in the taupe. for some reason, the taupe pair is shorter but they still fit beautifully. the fabric is ligher weight than denim so i wear them a lot. love pilcro!!!",5,Shorts,,,,,
Color run,"I love the way these shorts fit and look; very comfy, but after laundering one time, the lavender color became blotchy. used regular detergent in gentle cycle and it looks like someone poured bleach on them in random areas & they are unwearable! i have several colors, but the only color that was a problem is the lavender. $58 for one wear was a waste. i hate to leave negative feedback, but be careful with laundering.",1,Shorts,0,0,1,0,1
Great fall coat!!,"This coat is super cute and flattering. i am 5&amp;amp;amp;amp;#39;8&amp;amp;amp;amp;quot; and it comes almost to my knee on the back. i&amp;amp;amp;amp;#39;m usually a small but got the medium in case i wear a bulky sweater underneath. comfy and warm, but won&amp;amp;amp;#39;t be warm enough when winter hits without a big sweater underneath. great to throw on to walk the dog or hit the bus stop in style.",5,Outerwear,,,,,
Love these shorts!!,These shorts are great! perfect length and this can be addicted based on how much you roll them up. i love all the colors. i've bought several pairs because of how comfortable and versatile they are!,5,Shorts,,,,,
It fits!,"I ordered this dress to wear for summer weddings this year. i am both surprised and excited that it fits.

i normally wear an 18, sometimes a 16. stores like retailer are a place i go to admire fun cloths, but not to actually shop. i was concerned that the xl was going to be a fake xl- this happens sometimes. a brand only makes clothing up to a 12, so they're xl is really a 12. but not so! i feel like the xl could fit a 16 - 20. the l would probably fit a 16 as well.

this dress fits in",4,Dresses,,,,,
Comfy and cute,"Love these shorts. they do run large, i wear a 29 in pilcro and the 28 in these shorts fit comfortably with a bit of room to spare. the turquoise is definitely green, and not as bright as what i see in the online photo, but still a nice color. they have a funny smell but i'm sure that will wash out.",5,Shorts,,,,,
Super comfy and cute,These are some of the softest most comfortable shorts i own and wish i had them in more colors. i ordered the pink/salmon color and they go with so much!,5,Shorts,0,0,1,1,0
Whoa vanity sizing!,"I was extremely excited to receive these pants, given the two positive reviews. i'm a petite woman and have trouble finding jeans with the right proportions. i sized down from my normal size (27 to a 26) and was swimming in these pants. i would have had to go down three sizes to make these work. i'm not sure if i received a defective pair or what, but be cautious ordering these pants.",1,Jeans,,,,,
Please bring back the grey/gray!,"I listened to the other reviewers and ordered down...silly of me! all plcro seem to run a bit large and do stretch out. i got the 25 in the lovely light grey...fit me, but too tight to be comfy. i usually wear a 25,26, or 27 in jeans depending on the style. unfortunately, there are now no more in the grey...too bad. this shouldn't happen at the beginning of the season....please please please bring them back in this great neutral color or a stone.....",4,Shorts,,,,,
